Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2019-05-09T15:01:00+00:00,FALSE,,51.587424,0.429939,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2019-05-09T16:01:00+00:00,FALSE,,51.586949,0.429842,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-09T16:01:00+00:00,FALSE,,51.586949,0.429842,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-09T17:01:00+00:00,FALSE,,51.771666,0.095928,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-09T17:01:00+00:00,FALSE,,51.887913,0.897778,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,FALSE,FALSE
Person search,2019-05-09T19:01:00+00:00,FALSE,,51.697002,0.109451,Male,Oct-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-09T19:01:00+00:00,FALSE,,51.697002,0.109451,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2019-05-09T19:01:00+00:00,FALSE,,51.697002,0.109451,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-09T19:01:00+00:00,FALSE,,51.886853,0.836479,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-09T20:01:00+00:00,FALSE,,51.751646,0.134047,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-09T20:01:00+00:00,FALSE,,51.751646,0.134047,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-09T21:01:00+00:00,FALSE,,52.023542,0.23377,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-09T21:01:00+00:00,TRUE,,51.883226,0.925409,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-09T21:01:00+00:00,FALSE,,52.023542,0.23377,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2019-05-09T21:01:00+00:00,TRUE,,,,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person and Vehicle search,2019-05-09T21:01:00+00:00,FALSE,,52.023542,0.23377,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Vehicle search,2019-05-09T21:01:00+00:00,FALSE,,52.023542,0.23377,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,
Person and Vehicle search,2019-05-09T21:01:00+00:00,TRUE,,,,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Vehicle search,2019-05-09T22:01:00+00:00,FALSE,,52.022446,0.260608,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,
Person and Vehicle search,2019-05-09T22:01:00+00:00,FALSE,,52.022446,0.260608,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2019-05-09T23:01:00+00:00,FALSE,,51.732761,0.477311,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,TRUE,FALSE
Person and Vehicle search,2019-05-09T23:01:00+00:00,FALSE,,51.602072,0.65734,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,FALSE,FALSE
Person search,2019-05-09T23:01:00+00:00,FALSE,,51.6113,0.066131,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2019-05-10T00:01:00+00:00,FALSE,,51.878313,0.552537,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T02:01:00+00:00,FALSE,,51.613859,0.521403,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Vehicle search,2019-05-10T08:01:00+00:00,FALSE,,51.797126,1.125676,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,FALSE,
Person search,2019-05-10T09:01:00+00:00,FALSE,,51.882155,0.900416,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-10T11:01:00+00:00,TRUE,,51.563276,0.500162,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T12:01:00+00:00,FALSE,,51.886853,0.836479,Female,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T12:01:00+00:00,TRUE,,51.577499,0.463834,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T12:01:00+00:00,FALSE,,51.886853,0.836479,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T12:01:00+00:00,TRUE,,51.577499,0.463834,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2019-05-10T13:01:00+00:00,TRUE,,51.567352,0.458379,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T14:01:00+00:00,FALSE,,51.543087,0.718806,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person and Vehicle search,2019-05-10T14:01:00+00:00,FALSE,,51.540717,0.717425,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,FALSE,FALSE
Person and Vehicle search,2019-05-10T14:01:00+00:00,FALSE,,51.696587,0.466797,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,TRUE,FALSE
Person search,2019-05-10T14:01:00+00:00,FALSE,,51.537303,0.729667,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T15:01:00+00:00,FALSE,,51.537303,0.729667,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-10T15:01:00+00:00,FALSE,,51.602072,0.65734,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T15:01:00+00:00,FALSE,,51.879797,0.905583,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2019-05-10T15:01:00+00:00,FALSE,,51.601411,0.657157,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-10T15:01:00+00:00,FALSE,,51.601411,0.657157,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-10T15:01:00+00:00,TRUE,,51.696587,0.466797,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,TRUE,FALSE
Person search,2019-05-10T15:01:00+00:00,FALSE,,51.537303,0.729667,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T15:01:00+00:00,FALSE,,51.537303,0.729667,Male,Oct-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T15:01:00+00:00,FALSE,,51.879797,0.905583,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2019-05-10T15:01:00+00:00,FALSE,,51.879797,0.905583,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2019-05-10T16:01:00+00:00,FALSE,,51.790419,1.14949,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,TRUE,FALSE
Person and Vehicle search,2019-05-10T17:01:00+00:00,FALSE,,51.754266,0.06697,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T18:01:00+00:00,FALSE,,51.875728,0.942969,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,TRUE
Person search,2019-05-10T18:01:00+00:00,FALSE,,51.685625,-0.00152,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T18:01:00+00:00,FALSE,,51.890604,0.91551,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T18:01:00+00:00,TRUE,,51.886853,0.836479,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person search,2019-05-10T18:01:00+00:00,TRUE,,51.886853,0.836479,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T18:01:00+00:00,TRUE,,51.886853,0.836479,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T18:01:00+00:00,TRUE,,51.886853,0.836479,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T18:01:00+00:00,FALSE,,51.875728,0.942969,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,TRUE
Person search,2019-05-10T19:01:00+00:00,FALSE,,51.905048,0.5559,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T19:01:00+00:00,FALSE,,51.88843,0.925907,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,TRUE,FALSE
Person search,2019-05-10T19:01:00+00:00,FALSE,,51.905048,0.5559,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T19:01:00+00:00,FALSE,,51.905048,0.5559,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2019-05-10T21:01:00+00:00,FALSE,,51.654053,0.036139,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2019-05-10T21:01:00+00:00,FALSE,,51.905048,0.5559,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T21:01:00+00:00,FALSE,,51.536126,0.735048,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-10T21:01:00+00:00,FALSE,,51.905048,0.5559,Female,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Caution (simple or conditional),TRUE,FALSE
Person search,2019-05-10T21:01:00+00:00,FALSE,,54.688736,-1.223395,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-10T21:01:00+00:00,FALSE,,51.654053,0.036139,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T22:01:00+00:00,FALSE,,51.648146,0.073588,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,TRUE,FALSE
Person search,2019-05-10T23:01:00+00:00,FALSE,,51.749158,0.500956,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T23:01:00+00:00,FALSE,,51.749158,0.500956,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-10T23:01:00+00:00,FALSE,,51.892951,0.900995,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-10T23:01:00+00:00,FALSE,,51.896638,0.901742,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T23:01:00+00:00,FALSE,,51.776242,1.085171,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T23:01:00+00:00,FALSE,,51.789064,1.157068,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2019-05-10T23:01:00+00:00,FALSE,,51.891759,0.899363,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person search,2019-05-10T23:01:00+00:00,FALSE,,51.532971,0.724923,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2019-05-10T23:01:00+00:00,FALSE,,51.749158,0.500956,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T00:01:00+00:00,FALSE,,51.566856,0.39939,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T00:01:00+00:00,FALSE,,51.566856,0.39939,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,TRUE,FALSE
Vehicle search,2019-05-11T00:01:00+00:00,FALSE,,51.728764,0.463364,,,,,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,A no further action disposal,FALSE,
Person and Vehicle search,2019-05-11T00:01:00+00:00,FALSE,,51.566856,0.39939,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T00:01:00+00:00,FALSE,,51.566856,0.39939,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T00:01:00+00:00,FALSE,,51.566856,0.39939,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T02:01:00+00:00,FALSE,,51.776242,1.085171,Male,18-24,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T03:01:00+00:00,FALSE,,51.56898,0.668239,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,TRUE,FALSE
Person search,2019-05-11T03:01:00+00:00,FALSE,,51.628944,0.42174,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-11T09:01:00+00:00,FALSE,,51.544237,0.713798,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2019-05-11T10:01:00+00:00,FALSE,,51.770021,0.094895,,,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,
Person search,2019-05-11T10:01:00+00:00,TRUE,,51.888213,0.262613,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T11:01:00+00:00,FALSE,,51.581409,0.494965,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,FALSE,FALSE
Person and Vehicle search,2019-05-11T12:01:00+00:00,FALSE,,51.47846,0.324019,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,FALSE,FALSE
Person and Vehicle search,2019-05-11T12:01:00+00:00,FALSE,,51.478851,0.322008,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2019-05-11T14:01:00+00:00,FALSE,,51.588599,0.568152,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,TRUE
Person search,2019-05-11T15:01:00+00:00,FALSE,,51.50669,0.437818,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T15:01:00+00:00,FALSE,,51.890159,0.916034,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-11T16:01:00+00:00,FALSE,,51.871521,0.90964,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T16:01:00+00:00,FALSE,,51.786595,1.149891,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,FALSE,FALSE
Person and Vehicle search,2019-05-11T16:01:00+00:00,FALSE,,51.538338,0.711024,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T17:01:00+00:00,FALSE,,51.688487,0.111905,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-11T17:01:00+00:00,FALSE,,51.538338,0.711024,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-11T17:01:00+00:00,TRUE,,51.872264,0.915602,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-11T17:01:00+00:00,TRUE,,51.872264,0.915602,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2019-05-11T17:01:00+00:00,FALSE,,51.538338,0.711024,Male,Oct-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-11T17:01:00+00:00,TRUE,,51.872264,0.915602,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-11T17:01:00+00:00,FALSE,,51.785666,1.146273,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,FALSE,FALSE
Person search,2019-05-11T17:01:00+00:00,FALSE,,51.690525,0.111088,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Khat or Cannabis warning,FALSE,FALSE
Person search,2019-05-11T17:01:00+00:00,FALSE,,51.690525,0.111088,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T17:01:00+00:00,FALSE,,51.690525,0.111088,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T18:01:00+00:00,FALSE,,51.888884,0.943393,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T18:01:00+00:00,FALSE,,51.888884,0.943393,Female,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T18:01:00+00:00,FALSE,,51.639822,0.060114,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T19:01:00+00:00,FALSE,,51.563276,0.500162,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T20:01:00+00:00,FALSE,,51.521822,0.292176,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T20:01:00+00:00,FALSE,,51.521822,0.292176,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
Person and Vehicle search,2019-05-11T21:01:00+00:00,FALSE,,51.836491,0.588945,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person and Vehicle search,2019-05-11T21:01:00+00:00,FALSE,,51.836491,0.588945,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T21:01:00+00:00,FALSE,,51.836491,0.588945,Male,18-24,Asian/Asian British - Chinese,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-11T22:01:00+00:00,FALSE,,51.874652,0.950745,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,FALSE,FALSE
Person search,2019-05-11T22:01:00+00:00,FALSE,,54.39385,-7.73197,Male,Oct-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-11T23:01:00+00:00,FALSE,,51.777925,0.91972,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2019-05-11T23:01:00+00:00,TRUE,,51.771224,0.090994,Female,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
